unique_id,id,early_death_notes,temperature,life_stage,date,length,clutch_size,version,ID,X7
L_24,L,NA,24.0,clutch_1,2016-07-13,1744.941,NA,NA,NA,NA
E_8,E,NA,8.0,clutch_1,2016-08-04,1839.887,7,NA,NA,NA
F_8,F,NA,8.0,clutch_1,2016-07-28,2048.017,NA,NA,NA,NA
2N1.2_12,2N1.2,"July 28th - two adults in the tube, based on size concluded that one was 20 V2 G and that the babies belong to 12 V2 N.",12.0,clutch_2,2016-07-23,2024.381,8,NA,NA,NA
E_12,E,NA,12.0,clutch_2,2016-07-27,2016.739,NA,NA,NA,NA
F_12,F,NA,12.0,clutch_2,2016-07-25,2185.278,9,NA,NA,NA
2N1.3_16,2N1.3,NA,16.0,clutch_2,2016-07-23,2564.148,4,NA,NA,NA
B_16,B,NA,16.0,clutch_2,2016-07-20,2191.355,NA,NA,NA,NA
E_16,E,NA,16.0,clutch_2,2016-07-20,1969.135,10,NA,NA,NA
F_16,F,Dead July 25th,16.0,clutch_2,2016-07-18,2120.869,4,NA,NA,NA
K_16,K,NA,16.0,clutch_2,2016-09-07,2911.878,NA,NA,NA,NA
2N1.4_20,2N1.4,dead july 21,20.0,clutch_2,2016-07-19,2510.064,NA,NA,NA,NA
A_20,A,NA,20.0,clutch_2,2016-07-17,2152.845,9,NA,NA,NA
F_20,F,NA,20.0,clutch_2,2016-07-19,2468.559,NA,NA,NA,NA
2N1.5_24,2N1.5,NA,24.0,clutch_2,2016-07-18,2415.681,18,NA,NA,NA
B_24,B,NA,24.0,clutch_2,2016-07-15,2175.511,12,NA,NA,NA
E_24,E,NA,24.0,clutch_2,2016-07-14,1988.416,18,NA,NA,NA
E_8,E,NA,8.0,clutch_2,2016-08-13,2048.905,NA,NA,NA,NA
F_8,F,NA,8.0,clutch_2,2016-08-08,2185.218,NA,NA,NA,NA
2N1.2_12,2N1.2,"July 28th - two adults in the tube, based on size concluded that one was 20 V2 G and that the babies belong to 12 V2 N.",12.0,clutch_3,2016-07-28,2002.256,NA,NA,NA,NA
E_12,E,NA,12.0,clutch_3,2016-08-01,2029.892,2,NA,NA,NA
2N1.3_16,2N1.3,NA,16.0,clutch_3,2016-08-01,2751.911,0,NA,NA,NA
A_16,A,NA,16.0,clutch_3,2016-08-12,2755.235,NA,NA,NA,NA
B_16,B,NA,16.0,clutch_3,2016-08-12,2896.866,NA,NA,NA,NA
E_16,E,NA,16.0,clutch_3,2016-07-23,2202.931,10,NA,NA,NA
F_16,F,Dead July 25th,16.0,clutch_3,2016-07-19,2118.573,2,NA,NA,NA
K_16,K,NA,16.0,clutch_3,2016-09-12,3052.33,NA,NA,NA,NA
G_16,G,July 28th - measurement of only one baby ( No other babies found),16.0,clutch_3,2016-09-02,3159.927,NA,NA,NA,NA
A_20,A,NA,20.0,clutch_3,2016-07-20,2653.179,NA,NA,NA,NA
B_20,B,NA,20.0,clutch_3,2016-07-22,2685.214,NA,NA,NA,NA
F_20,F,NA,20.0,clutch_3,2016-07-21,2624.694,NA,NA,NA,NA
L_20,L,NA,20.0,clutch_3,2016-07-20,2167.909,NA,NA,NA,NA
K_20,K,NA,20.0,clutch_3,2016-08-02,2449.145,0,NA,NA,NA
G_20,G,July 28th - Georgia couldn`t find the Daphnia. Found 2 adults in 12 V2 N and based on size concluded that one was the 20 V2 G./ Dead Aug 8th,20.0,clutch_3,2016-08-05,2492.483,10,NA,NA,NA
2N1.5_24,2N1.5,NA,24.0,clutch_3,2016-07-20,2550.536,NA,NA,NA,NA
A_24,A,NA,24.0,clutch_3,2016-07-18,2124.901,8,NA,NA,NA
F_24,F,NA,24.0,clutch_3,2016-07-17,2393.659,16,NA,NA,NA
L_24,L,NA,24.0,clutch_3,2016-07-18,2172.003,4,NA,NA,NA
E_8,E,NA,8.0,clutch_3,2016-08-23,2256.24,NA,NA,NA,NA
F_8,F,NA,8.0,clutch_3,2016-08-25,2341.339,NA,NA,NA,NA
2N1.2_12,2N1.2,"July 28th - two adults in the tube, based on size concluded that one was 20 V2 G and that the babies belong to 12 V2 N.",12.0,clutch_4,2016-07-29,2135.284,NA,NA,NA,NA
E_12,E,NA,12.0,clutch_4,2016-08-08,2417.794,NA,NA,NA,NA
F_12,F,NA,12.0,clutch_4,2016-08-11,2647.543,11,NA,NA,NA
2N1.3_16,2N1.3,NA,16.0,clutch_4,2016-08-04,2762.431,9,NA,NA,NA
B_16,B,NA,16.0,clutch_4,2016-09-06,3327.664,NA,NA,NA,NA
E_16,E,NA,16.0,clutch_4,2016-08-01,2431.284,2,NA,NA,NA
G_16,G,July 28th - measurement of only one baby ( No other babies found),16.0,clutch_4,2016-09-06,3259.438,NA,NA,NA,NA
A_20,A,NA,20.0,clutch_4,2016-07-22,2750.916,NA,NA,NA,NA
L_20,L,NA,20.0,clutch_4,2016-07-23,2343.901,NA,NA,NA,NA
K_20,K,NA,20.0,clutch_4,2016-08-04,2460.179,NA,NA,NA,NA
2N1.5_24,2N1.5,NA,24.0,clutch_4,2016-07-22,2723.807,NA,NA,NA,NA
A_24,A,NA,24.0,clutch_4,2016-07-19,2330.235,NA,NA,NA,NA
B_24,B,NA,24.0,clutch_4,2016-07-18,2452.862,17,NA,NA,NA
L_24,L,NA,24.0,clutch_4,2016-07-20,2267.649,NA,NA,NA,NA
E_8,E,NA,8.0,clutch_4,2016-09-02,2380.458,NA,NA,NA,NA
F_8,F,NA,8.0,clutch_4,2016-09-04,2498.741,NA,NA,NA,NA
NA,NA,NA,8.0,1,2016-07-18,1829.989,NA,1.0,1B13,NA
NA,NA,NA,8.0,1,2016-07-18,2029.284,NA,1.0,1A13,NA
NA,NA,NA,8.0,1,2016-07-18,1934.269,NA,1.0,1C11,NA
NA,NA,NA,8.0,1,2016-07-19,1980.772,NA,1.0,1F11,NA
NA,NA,NA,8.0,2,2016-07-24,2162.526,NA,1.0,1C11,NA
NA,NA,NA,8.0,2,2016-07-25,1835.768,NA,1.0,1B13,NA
NA,NA,NA,8.0,2,2016-07-27,2058.789,NA,1.0,2A13,NA
NA,NA,NA,8.0,2,2016-07-28,2160.09,NA,1.0,1F11,NA
NA,NA,NA,8.0,3,2016-08-02,2218.595,NA,1.0,1C11,NA
NA,NA,NA,8.0,3,2016-08-03,2029.782,NA,1.0,B13,NA
NA,NA,NA,8.0,3,2016-08-05,2235.138,NA,1.0,2A13,NA
NA,NA,NA,8.0,3,2016-08-08,2281.256,NA,1.0,1F1.1,NA
NA,NA,NA,8.0,4,2016-08-12,2156.358,NA,1.0,B,NA
NA,NA,NA,8.0,4,2016-08-15,2355.281,NA,1.0,2A13,NA
NA,NA,NA,8.0,4,2016-08-16,2410.065,NA,1.0,1F11,NA
NA,NA,NA,12.0,NA,2016-05-31,1842.845,NA,2.0,D6,NA
NA,NA,NA,12.0,NA,2016-06-01,1743.397,NA,2.0,D6,NA
NA,NA,NA,12.0,NA,2016-06-01,1808.494,NA,2.0,D5,NA
NA,NA,NA,12.0,NA,2016-06-01,1606.96,NA,2.0,D4,NA
NA,NA,NA,12.0,NA,2016-06-01,1745.779,NA,2.0,D3,NA
NA,NA,NA,12.0,NA,2016-06-01,1688.621,NA,2.0,D2,NA
NA,NA,NA,12.0,NA,2016-06-01,1864.301,NA,2.0,D1,NA
NA,NA,NA,12.0,NA,2016-06-01,2086.962,NA,2.0,C6,NA
NA,NA,NA,12.0,NA,2016-06-01,1923.217,NA,2.0,C5,NA
NA,NA,NA,12.0,NA,2016-06-01,1732.204,NA,2.0,C4,NA
NA,NA,NA,12.0,NA,2016-06-01,1483.925,NA,2.0,C3,NA
NA,NA,NA,12.0,NA,2016-06-01,1654.417,NA,2.0,C1,NA
NA,NA,NA,12.0,NA,2016-06-01,1802.336,NA,2.0,B6,NA
NA,NA,NA,12.0,NA,2016-06-01,1792.281,NA,2.0,B5,NA
NA,NA,NA,12.0,NA,2016-06-01,1787.212,NA,2.0,B4,NA
NA,NA,NA,12.0,NA,2016-06-01,1487.878,NA,2.0,B3,NA
NA,NA,NA,12.0,NA,2016-06-01,1309.28,NA,2.0,B2,NA
NA,NA,NA,12.0,NA,2016-06-01,1905.407,NA,2.0,B1,NA
NA,NA,NA,12.0,NA,2016-06-01,2049.283,NA,2.0,A6,NA
NA,NA,NA,12.0,NA,2016-06-01,1966.068,NA,2.0,A5,NA
NA,NA,NA,12.0,1,2016-07-11,1862.472,NA,1.0,1C14,NA
NA,NA,NA,12.0,NA,2016-07-12,1926.266,NA,1.0,1F12,NA
NA,NA,NA,12.0,NA,2016-07-13,1847.886,NA,1.0,1C14,NA
NA,NA,NA,12.0,NA,2016-07-13,2207.028,NA,2.0,2.E.1.1,NA
NA,NA,NA,12.0,1,2016-07-13,1936.597,NA,1.0,1F12,NA
NA,NA,NA,12.0,NA,2016-07-17,2009.538,NA,1.0,1C14,NA
NA,NA,NA,12.0,NA,2016-07-17,2100.778,NA,1.0,1F12,NA
NA,NA,NA,12.0,3,2016-07-18,2269.481,NA,1.0,2E1.1,NA
NA,NA,NA,12.0,1,2016-07-18,2152.306,NA,1.0,2G12,NA
NA,NA,NA,12.0,3,2016-07-21,1934.179,NA,1.0,1C14,NA
NA,NA,NA,12.0,2,2016-07-21,2280.755,NA,1.0,2G12,NA
NA,NA,NA,12.0,3,2016-07-22,2254.639,NA,1.0,1F12,NA
NA,NA,NA,12.0,4,2016-07-23,2187.925,NA,1.0,1C14,NA
NA,NA,NA,12.0,4,2016-07-23,2254.587,NA,1.0,2E1.1,NA
NA,NA,NA,12.0,3,2016-07-28,2264.684,NA,1.0,2G12,NA
NA,NA,NA,12.0,3,2016-08-05,2508.98,NA,2.0,F,NA
NA,NA,NA,12.0,4,2016-08-08,2664.267,NA,1.0,2G1.2,NA
NA,NA,NA,16.0,NA,2016-05-31,1778.141,NA,2.0,D6,NA
NA,NA,NA,16.0,NA,2016-05-31,1886.954,NA,2.0,D5,NA
NA,NA,NA,16.0,NA,2016-05-31,1668.549,NA,2.0,D4,NA
NA,NA,NA,16.0,NA,2016-05-31,2047.91,NA,2.0,D3,NA
NA,NA,NA,16.0,NA,2016-05-31,1840.235,NA,2.0,D2,NA
NA,NA,NA,16.0,NA,2016-05-31,1925.291,NA,2.0,D1,NA
NA,NA,NA,16.0,NA,2016-05-31,2138.847,NA,2.0,C6,NA
NA,NA,NA,16.0,NA,2016-05-31,1977.008,NA,2.0,C5,NA
NA,NA,NA,16.0,NA,2016-05-31,1709.562,NA,2.0,C4,NA
NA,NA,NA,16.0,NA,2016-05-31,1933.621,NA,2.0,C3,NA
NA,NA,NA,16.0,NA,2016-05-31,1986.318,NA,2.0,C1,NA
NA,NA,NA,16.0,NA,2016-07-01,1980.836,NA,2.0,2E.1.5,NA
NA,NA,NA,16.0,NA,2016-07-03,1899.568,NA,2.0,1C.1.5,NA
NA,NA,NA,16.0,NA,2016-07-03,2101.997,NA,2.0,2.A.1.1,NA
NA,NA,NA,16.0,NA,2016-07-03,1856.937,NA,1.0,2B.1.2,NA
NA,NA,NA,16.0,NA,2016-07-04,2084.029,NA,2.0,2.E.1.5,NA
NA,NA,NA,16.0,2,2016-07-06,2064.684,NA,1.0,1C15,NA
NA,NA,NA,16.0,1,2016-07-06,1965.465,NA,1.0,1F15,NA
NA,NA,NA,16.0,2,2016-07-06,2206.016,NA,2.0,2A11,NA
NA,NA,NA,16.0,2,2016-07-06,1969.417,NA,1.0,2B12,NA
NA,NA,NA,16.0,3,2016-07-07,2230.501,NA,1.0,2E.15,NA
NA,NA,NA,16.0,3,2016-07-09,2144.232,NA,1.0,2.B.1.2,NA
NA,NA,NA,16.0,NA,2016-07-09,2191.776,NA,1.0,1F15,NA
NA,NA,NA,16.0,NA,2016-07-10,2390.472,NA,1.0,2A11,NA
NA,NA,NA,16.0,2,2016-07-10,2192.099,NA,1.0,1C15,NA
NA,NA,NA,16.0,4,2016-07-11,2311.628,NA,1.0,2.E.15,NA
NA,NA,NA,16.0,4,2016-07-13,2196.226,NA,1.0,1B12,NA
NA,NA,NA,16.0,3,2016-07-14,2283.104,NA,1.0,1C15,NA
NA,NA,NA,16.0,2,2016-07-14,2305.738,NA,1.0,1F15,NA
NA,NA,NA,16.0,1,2016-07-15,1893.846,NA,2.0,F,NA
NA,NA,NA,16.0,1,2016-07-17,1826.634,NA,2.0,E,NA
NA,NA,NA,16.0,4,2016-07-17,2526.148,NA,1.0,2A11,NA
NA,NA,NA,16.0,4,2016-07-18,2320.526,NA,1.0,1C15,NA
NA,NA,NA,16.0,3,2016-07-20,2517.36,NA,1.0,1F15,NA
NA,NA,NA,16.0,1,2016-07-22,2520.03,NA,1.0,2G13,NA
NA,NA,NA,16.0,1,2016-07-22,2488.822,NA,1.0,1K13,NA
NA,NA,NA,16.0,4,2016-07-24,2668.49,NA,1.0,1F15,NA
NA,NA,NA,16.0,2,2016-08-01,2415.014,NA,2.0,A,NA
NA,NA,NA,16.0,4,2016-08-02,2637.805,NA,1.0,2G13,NA
NA,NA,NA,16.0,2,2016-08-02,2929.735,NA,1.0,1K13,NA
NA,NA,NA,16.0,2,2016-08-05,2558.912,NA,2.0,G,NA
NA,NA,NA,16.0,3,2016-08-12,2357.156,NA,2.0,K,NA
NA,NA,NA,20.0,NA,2016-05-31,1758.513,NA,2.0,C6,NA
NA,NA,NA,20.0,NA,2016-05-31,1766.005,NA,2.0,C5,NA
NA,NA,NA,20.0,NA,2016-05-31,1827.279,NA,2.0,C4,NA
NA,NA,NA,20.0,NA,2016-05-31,1889.428,NA,2.0,C3,NA
NA,NA,NA,20.0,NA,2016-05-31,1940.886,NA,2.0,C1,NA
NA,NA,NA,20.0,NA,2016-05-31,1601.733,NA,2.0,B6,NA
NA,NA,NA,20.0,NA,2016-05-31,1570.362,NA,2.0,B5,NA
NA,NA,NA,20.0,NA,2016-05-31,1728.019,NA,2.0,B4,NA
NA,NA,NA,20.0,NA,2016-05-31,1989.374,NA,2.0,B3,NA
NA,NA,NA,20.0,NA,2016-05-31,2417.035,NA,2.0,B2,NA
NA,NA,NA,20.0,NA,2016-05-31,1539.805,NA,2.0,D6,NA
NA,NA,NA,20.0,NA,2016-05-31,1582.234,NA,2.0,D5,NA
NA,NA,NA,20.0,NA,2016-05-31,1592.731,NA,2.0,D4,NA
NA,NA,NA,20.0,NA,2016-05-31,1880.43,NA,2.0,D3,NA
NA,NA,NA,20.0,NA,2016-05-31,1900.338,NA,2.0,D2,NA
NA,NA,NA,20.0,NA,2016-05-31,1658.354,NA,2.0,D1,NA
NA,NA,NA,20.0,NA,2016-05-31,1676.044,NA,2.0,A6,NA
NA,NA,NA,20.0,NA,2016-05-31,1276.494,NA,2.0,A5,NA
NA,NA,NA,20.0,NA,2016-06-29,2005.013,NA,1.0,2B1.1,NA
NA,NA,NA,20.0,NA,2016-06-30,2144.972,NA,1.0,2A.1.2,NA
NA,NA,NA,20.0,NA,2016-07-01,1885.448,NA,1.0,2E.1.2,NA
NA,NA,NA,20.0,NA,2016-07-01,1888.016,NA,1.0,1C.1.2,NA
NA,NA,NA,20.0,NA,2016-07-01,2228.164,NA,1.0,2B.1.1,NA
NA,NA,NA,20.0,NA,2016-07-02,2331.409,NA,1.0,2A.1.2,NA
NA,NA,NA,20.0,NA,2016-07-03,2032.059,NA,1.0,1.C.1.2,NA
NA,NA,NA,20.0,NA,2016-07-03,2061.269,NA,2.0,2.E.1.2,NA
NA,NA,NA,20.0,NA,2016-07-03,2259.252,NA,1.0,2B.1.1,NA
NA,NA,NA,20.0,NA,2016-07-04,1893.947,NA,2.0,1.F.1.4,NA
NA,NA,NA,20.0,3,2016-07-06,2091.038,NA,1.0,1C12,NA
NA,NA,NA,20.0,4,2016-07-06,2308.221,NA,1.0,2B11,NA
NA,NA,NA,20.0,4,2016-07-06,2140.909,NA,1.0,2E1.2,NA
NA,NA,NA,20.0,2,2016-07-06,1902.372,NA,1.0,1F14,NA
NA,NA,NA,20.0,4,2016-07-07,2507.067,NA,1.0,2A12,NA
NA,NA,NA,20.0,4,2016-07-11,2590.992,NA,1.0,2A12,NA
NA,NA,NA,20.0,2,2016-07-11,2266.164,NA,1.0,2G14,NA
NA,NA,NA,20.0,2,2016-07-11,2175.825,NA,1.0,1K14,NA
NA,NA,NA,20.0,3,2016-07-13,2181.138,NA,1.0,1K14,NA
NA,NA,NA,20.0,NA,2016-07-13,2339.033,NA,1.0,2G14,NA
NA,NA,NA,20.0,NA,2016-07-13,2498.48,NA,1.0,2A11,NA
NA,NA,NA,20.0,NA,2016-07-13,1776.944,NA,2.0,V2.E,NA
NA,NA,NA,20.0,NA,2016-07-13,2214.914,NA,2.0,V2.F,NA
NA,NA,NA,20.0,NA,2016-07-13,2116.446,NA,2.0,V2.N,NA
NA,NA,NA,20.0,NA,2016-07-13,1694.569,NA,2.0,V2.L,NA
NA,NA,NA,20.0,4,2016-07-15,2498.606,NA,1.0,2G14,NA
NA,NA,NA,20.0,1,2016-07-17,2364.076,NA,2.0,F,NA
NA,NA,NA,20.0,1,2016-07-17,2407.241,NA,2.0,N,NA
NA,NA,NA,20.0,2,2016-07-18,2011.688,NA,2.0,L,NA
NA,NA,NA,20.0,2,2016-07-19,2520.958,NA,2.0,B,NA
NA,NA,NA,20.0,4,2016-07-30,2976.778,NA,2.0,B,NA
NA,NA,NA,20.0,2,2016-07-30,2278.045,NA,2.0,K,NA
NA,NA,NA,20.0,2,2016-08-02,2497.342,NA,2.0,G,NA
NA,NA,NA,24.0,NA,2016-05-31,1725.952,NA,2.0,D5,NA
NA,NA,NA,24.0,NA,2016-05-31,1677.182,NA,2.0,D3,NA
NA,NA,NA,24.0,NA,2016-05-31,1656.628,NA,2.0,D4,NA
NA,NA,NA,24.0,NA,2016-05-31,1818.633,NA,2.0,D2,NA
NA,NA,NA,24.0,NA,2016-05-31,1827.48,NA,2.0,D1,NA
NA,NA,NA,24.0,NA,2016-05-31,1665.027,NA,2.0,C6,NA
NA,NA,NA,24.0,NA,2016-05-31,1625.917,NA,2.0,C4,NA
NA,NA,NA,24.0,NA,2016-05-31,1781.813,NA,2.0,C3,NA
NA,NA,NA,24.0,NA,2016-05-31,1748.2,NA,2.0,C1,NA
NA,NA,NA,24.0,NA,2016-05-31,1644.765,NA,2.0,B6,NA
NA,NA,NA,24.0,NA,2016-05-31,1629.28,NA,2.0,B5,NA
NA,NA,NA,24.0,NA,2016-05-31,1744.567,NA,2.0,B4,NA
NA,NA,NA,24.0,NA,2016-05-31,1714.174,NA,2.0,B3,NA
NA,NA,NA,24.0,NA,2016-05-31,1696.495,NA,2.0,B2,NA
NA,NA,NA,24.0,NA,2016-05-31,1898.198,NA,2.0,B1,NA
NA,NA,NA,24.0,NA,2016-05-31,1469.791,NA,2.0,A6,NA
NA,NA,NA,24.0,NA,2016-05-31,1293.868,NA,2.0,A5,NA
NA,NA,NA,24.0,NA,2016-06-01,1410.251,NA,2.0,D6,NA
NA,NA,NA,24.0,NA,2016-06-01,1399.374,NA,2.0,D5,NA
NA,NA,NA,24.0,NA,2016-06-01,1780.451,NA,2.0,D4,NA
NA,NA,NA,24.0,NA,2016-06-01,1346.271,NA,2.0,D3,NA
NA,NA,NA,24.0,NA,2016-06-01,1780.159,NA,2.0,D2,NA
NA,NA,NA,24.0,NA,2016-06-01,1688.255,NA,2.0,C6,NA
NA,NA,NA,24.0,NA,2016-06-01,1716.079,NA,2.0,C5,NA
NA,NA,NA,24.0,NA,2016-06-01,1766.713,NA,2.0,C4,NA
NA,NA,NA,24.0,NA,2016-06-01,1880.101,NA,2.0,C3,NA
NA,NA,NA,24.0,NA,2016-06-01,1715.516,NA,2.0,C1,NA
NA,NA,NA,24.0,NA,2016-06-01,1461.126,NA,2.0,B6,NA
NA,NA,NA,24.0,NA,2016-06-01,1895.492,NA,2.0,B5,NA
NA,NA,NA,24.0,NA,2016-06-01,1847.23,NA,2.0,B4,NA
NA,NA,NA,24.0,NA,2016-06-01,1989.387,NA,2.0,B3,NA
NA,NA,NA,24.0,NA,2016-06-01,1918.426,NA,2.0,B2,NA
NA,NA,NA,24.0,NA,2016-06-01,1856.407,NA,2.0,B1,NA
NA,NA,NA,24.0,NA,2016-06-01,1579.873,NA,2.0,A6,NA
NA,NA,NA,24.0,NA,2016-06-01,2083.075,NA,2.0,A5,NA
NA,NA,NA,24.0,NA,2016-06-30,2265.58,NA,1.0,2A.1.4,NA
NA,NA,NA,24.0,NA,2016-07-01,2061.913,NA,2.0,2.E.1.4,NA
NA,NA,NA,24.0,NA,2016-07-01,2022.651,NA,1.0,1C.1.3,NA
NA,NA,NA,24.0,NA,2016-07-02,2421.574,NA,1.0,2.A.1.4,NA
NA,NA,NA,24.0,NA,2016-07-02,2013.913,NA,1.0,1.F.1.3,NA
NA,NA,NA,24.0,NA,2016-07-03,2100.174,NA,1.0,1.C.1.3,NA
NA,NA,NA,24.0,NA,2016-07-04,2110.037,NA,1.0,1.F.1.3,NA
NA,NA,NA,24.0,NA,2016-07-04,2486.226,NA,1.0,2A.1.4,NA
NA,NA,NA,24.0,NA,2016-07-05,2362.383,NA,1.0,2A1.2,NA
NA,NA,NA,24.0,4,2016-07-05,2256.958,NA,1.0,1C1.3,NA
NA,NA,NA,24.0,1,2016-07-05,1901.465,NA,1.0,2G1.5,NA
NA,NA,NA,24.0,2,2016-07-06,1984.295,NA,1.0,2G15,NA
NA,NA,NA,24.0,NA,2016-07-11,2173.067,NA,1.0,2G15,NA
NA,NA,NA,24.0,NA,2016-07-12,2164.809,NA,2.0,V2.N,NA
NA,NA,NA,24.0,2,2016-07-13,2173.088,NA,2.0,V2.F,NA
NA,NA,NA,24.0,NA,2016-07-13,1941.143,NA,2.0,V2.E,NA
NA,NA,NA,24.0,NA,2016-07-17,1984.839,NA,2.0,A,NA
NA,NA,NA,24.0,NA,2016-07-17,2360.917,NA,2.0,B,NA
NA,NA,NA,24.0,NA,2016-07-17,1964.738,NA,2.0,E,NA
NA,NA,NA,24.0,NA,2016-07-17,1940.239,NA,2.0,L,NA
NA,NA,NA,24.0,1,2016-07-17,1143.237,NA,2.0,N.1.A,NA
NA,NA,NA,24.0,1,2016-07-17,1009.163,NA,2.0,N.1.B,NA
NA,NA,NA,24.0,1,2016-07-17,1153.861,NA,2.0,N.1.C,NA
NA,NA,NA,24.0,NA,2016-07-17,2356.139,NA,1.0,1K14,NA
NA,NA,NA,NA,NA,2016-06-07,2090.489,NA,NA,Julia,NA
NA,NA,NA,NA,NA,2016-06-07,2065.866,NA,NA,Kathryn,NA
NA,NA,NA,NA,NA,2016-06-07,2238.442,NA,NA,Virginia,NA
NA,NA,NA,NA,NA,2016-06-07,2179.747,NA,NA,Alice,NA
NA,NA,NA,NA,NA,2016-06-07,2324.914,NA,NA,Jasmine,NA
NA,NA,NA,NA,NA,2016-06-13,2294.793,NA,NA,Julia0.B4,NA
NA,NA,NA,NA,NA,2016-06-13,1484.688,NA,NA,Ronda_clutch1_B1,NA
NA,NA,NA,NA,NA,2016-06-13,1602.227,NA,NA,Julia_clutch1_A6,NA
NA,NA,NA,NA,NA,2016-06-13,2104.972,NA,NA,Sandy0_A5,NA
NA,NA,NA,NA,NA,2016-06-13,2337.293,NA,NA,Virginia0_A3,NA
NA,NA,NA,NA,NA,2016-06-13,1596.079,NA,NA,Alice_clutch2_A2,NA
NA,NA,NA,NA,NA,2016-06-13,2448.702,NA,NA,Jasmine_A1,NA
NA,NA,NA,NA,NA,2016-06-20,1957.47,NA,NA,1Charlotte0,NA
NA,NA,NA,NA,NA,2016-06-20,2428.175,NA,NA,1Iris0,NA
NA,NA,NA,NA,NA,2016-06-20,2494.935,NA,NA,1Abigail0,NA
NA,NA,NA,NA,NA,2016-06-22,2512.341,NA,NA,1D0,NA
NA,NA,NA,NA,NA,2016-06-22,2589.498,NA,NA,1J0,NA
NA,NA,NA,NA,NA,2016-06-27,1022.545,NA,NA,1F.1.1,NA
NA,NA,NA,NA,NA,2016-06-29,1676.201,NA,NA,2E.1.2,NA
NA,NA,NA,NA,NA,2016-06-29,1095.572,NA,NA,E.2.1.9,NA
NA,NA,NA,NA,NA,2016-06-29,1115.983,NA,NA,E.2.1.8,NA
NA,NA,NA,NA,NA,2016-06-29,1100.669,NA,NA,E.2.1.7,NA
NA,NA,NA,NA,NA,2016-06-29,1067.792,NA,NA,E.2.1.1,NA
NA,NA,NA,NA,NA,2016-06-29,2021.581,NA,NA,2E.1.4,NA
NA,NA,NA,NA,NA,2016-06-29,1064.864,NA,NA,E.2.1.4,NA
NA,NA,NA,NA,NA,2016-06-29,1065.145,NA,NA,E.2.1.5,NA
NA,NA,NA,NA,NA,2016-06-29,2122.906,NA,NA,2A.1.4,NA
NA,NA,NA,NA,NA,2016-06-29,1867.21,NA,NA,1C.1.3,NA
NA,NA,NA,NA,NA,NA,2103.783,NA,1.0,Kathryn_CJ,NA
NA,NA,NA,NA,NA,NA,2208.794,NA,1.0,Jasmine_CJ,NA
NA,NA,NA,NA,NA,NA,2072.757,NA,1.0,Julia_CJ,NA
NA,NA,NA,NA,NA,NA,2241.42,NA,1.0,Virginia_CJ,NA
NA,NA,NA,NA,NA,NA,2074.594,NA,1.0,Alice_CJ,NA
